geom,document_bbls,certificate_doc_id,pluto20v1_geom_match,crfn,document_date,recorded_datetime,modified_date,reel_yr,reel_nbr,reel_pg
"MULTIPOLYGON(((-73.9594332354759 40.8110247968903,-73.9596149117844 40.8107773759927,-73.9596887193932 40.8108084653918,-73.9598672425429 40.8105653374596,-73.9600239942343 40.8106313641832,-73.9598386174489 40.8108844602785,-73.9596641488603 40.8111220632187,-73.9594332354759 40.8110247968903)),((-73.9591147255989 40.8108906308905,-73.9592874874558 40.8106553523544,-73.9592964039099 40.8106432113904,-73.9594528767708 40.8107091226272,-73.9592712000461 40.8109565432721,-73.9591147255989 40.8108906308905)),((-73.9592712000461 40.8109565432721,-73.9594528767708 40.8107091226272,-73.9596149117844 40.8107773759927,-73.9594332354759 40.8110247968903,-73.9592712000461 40.8109565432721)))",1019760019;1019760041;1019760043,2003012100806002,all,2003000007944,2002-11-11 00:00:00+00,2003-01-30 00:00:00+00,2003-01-30 00:00:00+00,0,0,0
"MULTIPOLYGON(((-73.8951252360704 40.8338292638637,-73.8948749164912 40.8338552763863,-73.8944046330881 40.8339041452504,-73.8943097755258 40.8333601630681,-73.8950306608674 40.8332852528131,-73.8951252360704 40.8338292638637)),((-73.8951252360704 40.8338292638637,-73.8948749164912 40.8338552763863,-73.8944046330881 40.8339041452504,-73.8943097755258 40.8333601630681,-73.8950306608674 40.8332852528131,-73.8951252360704 40.8338292638637)),((-73.8951252360704 40.8338292638637,-73.8948749164912 40.8338552763863,-73.8944046330881 40.8339041452504,-73.8943097755258 40.8333601630681,-73.8950306608674 40.8332852528131,-73.8951252360704 40.8338292638637)),((-73.8951252360704 40.8338292638637,-73.8948749164912 40.8338552763863,-73.8944046330881 40.8339041452504,-73.8943097755258 40.8333601630681,-73.8950306608674 40.8332852528131,-73.8951252360704 40.8338292638637)),((-73.8951252360704 40.8338292638637,-73.8948749164912 40.8338552763863,-73.8944046330881 40.8339041452504,-73.8943097755258 40.8333601630681,-73.8950306608674 40.8332852528131,-73.8951252360704 40.8338292638637)),((-73.8951252360704 40.8338292638637,-73.8948749164912 40.8338552763863,-73.8944046330881 40.8339041452504,-73.8943097755258 40.8333601630681,-73.8950306608674 40.8332852528131,-73.8951252360704 40.8338292638637)),((-73.8951252360704 40.8338292638637,-73.8948749164912 40.8338552763863,-73.8944046330881 40.8339041452504,-73.8943097755258 40.8333601630681,-73.8950306608674 40.8332852528131,-73.8951252360704 40.8338292638637)),((-73.8951252360704 40.8338292638637,-73.8948749164912 40.8338552763863,-73.8944046330881 40.8339041452504,-73.8943097755258 40.8333601630681,-73.8950306608674 40.8332852528131,-73.8951252360704 40.8338292638637)))",2029640029;2029640029;2029640029;2029640049;2029640029;2029640029;2029640029;2029640029;2029640029,2003012400427002,partial,2003000014130,2003-01-22 00:00:00+00,2003-02-07 00:00:00+00,2003-02-07 00:00:00+00,0,0,0
,1002180023;1002180020;1002180028,2003021301693001,none,2003000073545,2003-02-10 00:00:00+00,2003-04-02 00:00:00+00,2003-04-02 00:00:00+00,0,0,0
"MULTIPOLYGON(((-73.9919181173894 40.7586660212704,-73.9919529581339 40.7586182753405,-73.9922211036172 40.7587311225132,-73.9921862641901 40.7587788685234,-73.9919181173894 40.7586660212704)),((-73.9918833464779 40.7587136708403,-73.9919181173894 40.7586660212704,-73.9921862641901 40.7587788685234,-73.9921514922273 40.7588265181734,-73.9918833464779 40.7587136708403)),((-73.9913951383209 40.7587092850691,-73.9915675384158 40.7584730107476,-73.9915753380903 40.7584623205245,-73.9918492824996 40.7585776093573,-73.9920362398749 40.7583213243395,-73.9924064432237 40.7584771204714,-73.9922211036172 40.7587311225132,-73.9919529581339 40.7586182753405,-73.9919181173894 40.7586660212704,-73.9918833464779 40.7587136708403,-73.9918481645064 40.7587619074994,-73.9918096363839 40.7588147094691,-73.9920777835995 40.7589275560716,-73.9920392567475 40.7589803581169,-73.9913951383209 40.7587092850691)),((-73.9918481645064 40.7587619074994,-73.9918833464779 40.7587136708403,-73.9921514922273 40.7588265181734,-73.9921163115746 40.7588747549137,-73.9918481645064 40.7587619074994)),((-73.9918481645064 40.7587619074994,-73.9921163115746 40.7588747549137,-73.9920777835995 40.7589275560716,-73.9918096363839 40.7588147094691,-73.9918481645064 40.7587619074994)))",1010330061;1010330101;1010330064;1010330063;1010330002;1010330001;1010330162;1010330161,2003022602133007,partial,2003000401753,2002-06-24 00:00:00+00,2003-09-30 00:00:00+00,2003-09-30 00:00:00+00,0,0,0
,1012321193;1012321192,2003030400611001,none,2003000033484,2003-02-28 00:00:00+00,2003-03-04 00:00:00+00,2003-03-04 00:00:00+00,0,0,0
,3006280055;3006280054,2003032000521002,none,2003000060907,2003-03-18 00:00:00+00,2003-03-25 00:00:00+00,2003-03-25 00:00:00+00,0,0,0
,1019450039;1019450025;1019450043;1019450038;1019450040;1019450037;1019450023;1019450041;1019450024;1019450028;1019450027;1019450026;1019450042;1019450022,2003032100411002,none,2003000078602,2002-11-24 00:00:00+00,2003-04-07 00:00:00+00,2003-04-07 00:00:00+00,0,0,0
"MULTIPOLYGON(((-73.9368854307421 40.7961551831248,-73.9367443054798 40.796095914101,-73.9366953544463 40.7960753549275,-73.9366466663898 40.7960549075397,-73.9366234120682 40.7960451405404,-73.9368056050859 40.7957964684479,-73.9371148542794 40.7959263501011,-73.9369326644339 40.7961750199772,-73.9368854307421 40.7961551831248)),((-73.9365624198882 40.7963441738257,-73.9367443054798 40.796095914101,-73.9368854307421 40.7961551831248,-73.936703545514 40.7964034439703,-73.9365624198882 40.7963441738257)))",1016870015;1016870013;1016870016;1016870014;1016870038,2003032101610001,partial,2003000521778,2003-02-27 00:00:00+00,2003-12-22 00:00:00+00,2003-12-22 00:00:00+00,0,0,0
"MULTIPOLYGON(((-73.9901497191088 40.7457976034063,-73.9902403026007 40.745673316904,-73.9901828571249 40.7456491478297,-73.990267950107 40.745532423289,-73.9902790501997 40.7455171948596,-73.9903525406656 40.7454163848273,-73.9903997439854 40.7453516324438,-73.9904470597184 40.7452867197596,-73.9905459385211 40.7453283223171,-73.9907668084683 40.7454212518011,-73.9907194905833 40.7454861637148,-73.990672287479 40.7455509162281,-73.9905987985326 40.7456517264625,-73.9905026058968 40.7457836796972,-73.9904120144567 40.7459079619006,-73.9901497191088 40.7457976034063)))",1008290001;1008290074;1008290005;1008290003;1008290002;1008290006,2003041600526001,partial,2003000125094,2003-03-11 00:00:00+00,2003-05-12 00:00:00+00,2003-05-12 00:00:00+00,0,0,0
,1016610013;1016610014,2003042401074002,none,2003000134675,2003-04-17 00:00:00+00,2003-05-19 00:00:00+00,2003-05-19 00:00:00+00,0,0,0
